,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,52,0,1,994,1,7,4,0,2,1,87,3,3,6,2,0,10445,15322,7,0,19,3,4,0,18,4,3,8,6,4,0
1,34,0,1,167,1,8,5,0,2,0,32,3,2,3,1,2,5121,4187,3,0,14,3,3,1,7,3,3,0,0,0,0
2,42,0,1,647,0,4,4,3,2,1,45,3,2,0,1,0,5155,2253,7,0,13,3,4,0,9,3,4,6,4,1,5
3,30,0,1,1334,0,4,2,1,3,0,63,2,2,0,2,2,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7
4,28,1,1,529,1,2,4,0,1,1,79,3,1,2,3,0,3485,14935,2,0,11,3,3,0,5,5,1,0,0,0,0
5,46,0,2,1034,1,18,1,1,1,0,86,3,3,6,3,1,10527,8984,5,0,11,3,4,0,28,3,2,2,2,1,2
6,36,0,1,429,1,2,4,0,3,0,53,3,2,3,2,0,5410,2323,9,1,11,3,4,0,18,2,3,16,14,5,12
7,40,0,1,759,0,2,2,3,4,0,46,3,2,0,2,2,5715,22553,7,0,12,3,3,2,8,5,3,5,4,1,3
8,34,0,1,479,1,7,4,1,1,1,35,3,1,1,4,0,2972,22061,1,0,13,3,3,0,1,4,1,1,0,0,0
9,49,0,2,279,1,8,1,0,3,1,61,2,2,1,2,1,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7
10,25,0,1,1280,1,7,1,1,4,1,64,2,1,1,4,1,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1
11,53,0,1,447,1,2,3,1,4,1,39,4,4,7,2,0,16598,19764,4,0,12,3,2,0,35,2,2,9,8,8,8
12,42,0,1,932,1,1,2,0,4,0,43,2,2,3,4,1,6062,4051,9,1,13,3,4,1,8,4,3,4,3,0,2
13,36,1,1,660,1,15,3,5,1,1,81,3,2,2,3,2,4834,7858,7,0,14,3,2,1,9,3,2,1,0,0,0
14,25,1,1,688,1,3,3,1,1,1,91,3,1,2,1,1,4031,9396,5,0,13,3,3,1,6,5,3,2,2,0,2
15,42,0,1,916,1,17,2,0,4,0,82,4,2,1,1,0,6545,23016,3,1,13,3,3,0,10,1,3,3,2,0,2
16,25,1,1,240,0,5,3,3,3,1,46,2,2,0,3,0,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3
17,39,0,1,867,1,9,2,1,1,1,87,3,2,3,1,1,5151,12315,1,0,25,4,4,1,10,3,3,10,0,7,9
18,37,0,1,367,1,25,2,1,3,0,52,2,2,6,4,2,5731,17171,7,0,13,3,3,2,9,2,3,6,2,1,3
19,29,0,1,469,0,10,3,1,3,1,42,2,2,0,3,0,5869,23413,9,0,11,3,3,0,8,2,3,5,2,1,4
20,31,0,1,471,1,4,3,1,1,0,62,4,1,2,3,2,3978,16031,8,0,12,3,2,1,4,0,2,2,2,2,2
21,50,0,1,813,1,17,5,0,4,0,50,2,3,7,1,2,13269,21981,5,0,15,3,3,3,19,3,3,14,11,1,11
22,30,0,2,1012,1,5,4,0,2,1,75,2,1,1,4,2,3761,2373,9,0,12,3,2,1,10,3,2,5,4,0,3
23,55,0,1,1441,1,22,3,2,1,1,94,2,1,1,2,2,3537,23737,5,0,12,3,4,1,8,1,3,4,2,1,2
24,33,0,1,217,0,10,4,3,2,1,43,3,2,0,3,0,5487,10410,1,0,14,3,2,0,10,2,2,10,4,0,9
25,58,0,1,1272,1,5,3,2,3,0,37,2,3,6,2,2,10552,9255,2,1,13,3,4,1,24,3,3,6,0,0,4
26,54,0,0,142,2,26,3,4,4,0,30,4,4,4,4,0,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4
27,30,1,1,945,0,9,3,1,2,1,89,3,1,5,4,0,1081,16019,1,0,13,3,3,0,1,3,2,1,0,0,0
28,29,1,1,224,1,1,4,2,1,1,100,2,1,1,1,0,2362,7568,6,0,13,3,3,0,11,2,1,9,7,0,7
29,33,0,1,213,1,7,3,1,3,1,49,3,3,7,3,1,11691,25995,0,0,11,3,4,0,14,3,4,13,9,3,7
30,48,0,1,277,1,6,3,0,1,1,97,2,2,6,3,0,4240,13119,2,0,13,3,4,0,19,0,3,2,2,2,2
31,27,0,1,1055,1,2,4,0,1,0,47,3,2,3,4,1,4227,4658,0,0,18,3,2,1,4,2,3,3,2,2,2
32,28,0,2,773,1,6,3,0,3,1,39,2,1,1,3,2,2703,22088,1,1,14,3,4,1,3,2,3,3,1,0,2
33,33,0,2,1146,0,25,3,1,2,0,82,3,2,0,3,1,4539,4905,1,0,12,3,1,1,10,3,2,10,7,0,1
34,30,0,1,1358,0,16,1,0,4,1,96,3,2,0,3,1,5301,2939,8,0,15,3,3,2,4,2,2,2,1,2,2
35,36,0,0,894,1,1,4,1,4,0,33,2,2,3,3,1,4374,15411,0,0,15,3,3,0,4,6,3,3,2,1,2
36,26,1,2,887,1,5,2,1,3,0,88,2,1,1,3,1,2366,20898,1,1,14,3,1,1,8,2,3,8,7,1,7
37,36,0,1,913,1,9,2,1,2,1,48,2,2,3,2,2,8847,13934,2,1,11,3,3,1,13,2,3,3,2,0,2
38,52,0,0,771,0,2,4,0,1,1,79,2,5,4,3,0,19068,21030,1,1,18,3,4,0,33,2,4,33,7,15,12
39,33,0,1,654,1,5,3,0,4,1,34,2,3,6,4,2,7119,21214,4,0,15,3,3,1,9,2,3,3,2,1,2
40,31,0,1,616,1,12,3,1,4,0,41,3,2,6,4,1,5855,17369,0,1,11,3,3,2,10,2,1,9,7,8,5
41,21,0,1,501,0,5,1,1,3,1,58,3,1,5,1,0,2380,25479,1,1,11,3,4,0,2,6,3,2,2,1,2
42,34,0,2,1003,1,2,2,0,4,1,95,3,2,3,3,0,4033,15834,2,0,11,3,4,0,5,3,2,3,2,0,2
43,38,0,2,1189,1,1,3,0,4,1,90,3,2,1,4,1,4735,9867,7,0,15,3,4,2,19,4,4,13,11,2,9
44,35,0,1,660,0,7,1,0,4,1,76,3,1,5,3,1,2404,16192,1,0,13,3,1,1,1,3,3,1,0,0,0
45,24,0,1,506,1,29,1,1,2,1,91,3,1,2,1,2,3907,3622,1,0,13,3,2,3,6,2,4,6,2,1,2
46,33,1,1,118,0,16,3,3,1,0,69,3,2,0,1,0,5324,26507,5,0,15,3,3,0,6,3,3,3,2,0,2
47,24,1,1,693,0,3,2,0,1,0,65,3,2,0,3,0,4577,24785,9,0,14,3,1,0,4,3,3,2,2,2,0
48,21,0,1,996,1,3,2,1,4,1,100,2,1,1,3,0,3230,10531,1,0,17,3,1,0,3,4,4,3,2,1,0
49,44,0,1,1313,1,7,3,1,2,0,31,3,5,7,4,2,19049,3549,0,1,14,3,4,1,23,4,2,22,7,1,10
50,40,0,1,1202,1,2,1,1,2,0,89,4,2,6,3,2,6377,13888,5,0,20,4,2,3,15,0,3,12,11,11,8
51,51,0,1,1302,1,2,3,1,4,1,84,1,2,3,2,2,5482,16321,5,0,18,3,4,1,13,3,3,4,1,1,2
52,54,0,2,1050,1,11,4,1,2,0,87,3,4,4,4,2,16032,24456,3,0,20,4,1,1,26,2,3,14,9,1,12
53,25,0,1,959,0,28,3,0,1,1,41,2,2,0,3,1,8639,24835,2,0,18,3,4,0,6,3,3,2,2,2,2
54,26,1,1,471,1,24,3,2,3,1,66,1,1,2,4,0,2340,23213,1,1,18,3,2,0,1,3,1,1,0,0,0
55,38,0,2,653,1,29,5,0,4,0,50,3,2,2,4,0,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9
56,38,0,2,240,1,2,4,0,1,0,75,4,2,3,1,0,5980,26085,6,1,12,3,4,0,17,2,3,15,7,4,12
57,38,0,2,888,2,10,4,4,3,1,71,3,2,8,3,1,6077,14814,3,0,11,3,3,0,10,2,3,6,3,1,2
58,37,0,1,397,1,7,4,1,1,1,30,3,3,7,3,0,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2
59,35,0,1,1276,1,16,3,0,4,1,72,3,3,6,3,1,7632,14295,4,1,12,3,3,0,10,2,3,8,7,0,0
60,37,0,1,1319,1,6,3,1,3,1,51,4,2,1,1,2,5974,17001,4,1,13,3,1,2,13,2,3,7,7,6,7
61,43,0,2,313,1,21,3,1,4,1,61,3,1,2,4,1,2258,15238,7,0,20,4,1,1,8,1,3,3,2,1,2
62,37,0,1,1017,1,1,2,1,3,0,83,2,1,1,1,1,3920,18697,2,0,14,3,1,1,17,2,2,3,1,0,2
63,28,0,0,1103,1,16,3,1,3,1,49,3,1,1,3,0,2144,2122,1,0,14,3,3,0,5,3,2,5,3,1,4
64,40,0,1,804,1,2,1,1,4,0,86,2,1,1,4,0,2342,22929,0,1,20,4,4,0,5,2,2,4,2,2,3
65,30,0,1,501,0,27,5,3,3,1,99,3,2,0,4,2,5304,25275,7,0,23,4,4,1,10,2,2,8,7,7,7
