,Unnamed: 0,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Unnamed: 0,1.0,-0.01007760885213425,0.01430071394328829,0.0004384463823369538,-0.02548141940827131,0.013045244981039143,-0.03312398265313625,0.005091953790989496,-0.027292377080558868,0.004429819488244233,-3.926735775609182e-05,0.03875921178271856,0.031225816421162615,-0.04947615298130163,-0.005557410378177911,-0.02803106603376526,0.01303227015755879,-0.06030247826402508,-0.026468631854229915,-0.03995351422172903,0.026132439054745132,0.0719528900860181,0.07397632941117673,-0.007407748589369017,0.017972387889502967,-0.04563029816631502,0.01281700815861038,0.0345716952720593,-0.029385560803632922,0.005151290881062948,0.010633694247859314,-0.023001171838014256
Age,-0.01007760885213425,1.0,-0.15920500686577957,-0.011807332390251524,0.010660942645538317,0.031882283300729966,-0.0016861201480870508,0.20803373101424005,-0.021305938980906165,0.010146427861437242,-0.03631055011579357,0.024286542550967186,0.02981995862959061,0.5096042284323831,0.16520390347787955,-0.004891877148687302,0.09502891010976458,0.4978545669265798,0.02805116713392285,0.29963475798369305,0.028062357084123968,0.0036335849148615615,0.0019038955127583404,0.053534719671229136,0.03750971242477767,0.6803805357911988,-0.019620818942698407,-0.021490027957098545,0.31130876974509897,0.21290105556556801,0.21651336785165345,0.20208860237515242
Attrition,0.01430071394328829,-0.15920500686577957,1.0,0.1270064831524362,-0.05665199186762927,-0.06399059633809029,0.07792358295570363,-0.03137281964004919,0.04913124224937461,-0.10336897833793592,0.02945325317514156,-0.006845549572139921,-0.13001595678605357,-0.16910475093102723,-0.05246200310074029,-0.10348112606902116,-0.16207023465701503,-0.15983958238498858,0.015170212530471485,0.043493739057813556,0.2461179942458045,-0.013478202057439133,0.002888751711080754,-0.0458722788811266,-0.13714491893332537,-0.17106324613622595,-0.05947779855642069,-0.06393904721740906,-0.13439221398997728,-0.16054500426770094,-0.03301877514258435,-0.15619931590162894
BusinessTravel,0.0004384463823369538,-0.011807332390251524,0.1270064831524362,1.0,-0.015538890517860508,0.0026396042815241333,-0.009696041173051367,-0.008669840085108939,-0.009910014187876298,-0.011309934664854531,-0.044895512646853854,-0.00416398306931442,0.029299958629822473,-0.011695830250404073,0.021014426778507758,0.008665958530506843,-0.030914987618337386,-0.013449946655490172,-0.008440491624793399,-0.030742984154196615,0.04275151615331705,-0.025726943447009747,0.0016833372031894668,0.008926303364628393,-0.028256953287062656,0.007972110014095998,0.016357219493779784,0.004208799278266285,0.005212127727863718,-0.0053364235534021824,0.005222020469779371,-0.00022851184702926916
DailyRate,-0.02548141940827131,0.010660942645538317,-0.05665199186762927,-0.015538890517860508,1.0,-0.007108713689204909,-0.004985337352552758,-0.016806433209157718,-0.03864676632575302,0.018354854300385495,-0.01171613790774814,0.023381421528320474,0.046134873997811236,0.0029663348551115087,0.008054457624450275,0.03057100783714387,0.06958564143828096,0.0077070588720059,-0.032181601522581885,0.03815343427940981,0.00913496990113506,0.02270367749633482,0.00047329632718814854,0.007846030957248193,0.04214279637720676,0.014514738706320819,0.002452542712083252,-0.037848051005781674,-0.034054767568547535,0.009932014960094184,-0.033228984787772094,-0.026363178228837804
Department,0.013045244981039143,0.031882283300729966,-0.06399059633809029,0.0026396042815241333,-0.007108713689204909,1.0,-0.017224803613741523,-0.007996422048222405,-0.10590765926222694,0.019395270630633597,0.041583290226894096,0.004143707935910182,0.02458606170894312,-0.10196310581158109,0.4848381253733465,-0.02100087885193562,0.05607343535371024,-0.053129697797713434,-0.023642072073989197,0.035881612263951736,-0.0074809675866862055,0.007840161292256932,0.024603542829997514,0.022414425363375807,0.012192914425298695,0.015761511938565103,-0.036875066263431906,-0.026382525037315717,-0.022920442318194626,-0.05631544679192423,-0.04006096687331558,-0.03428247258579984
DistanceFromHome,-0.03312398265313625,-0.0016861201480870508,0.07792358295570363,-0.009696041173051367,-0.004985337352552758,-0.017224803613741523,1.0,0.021041825624123316,0.01703316667883913,-0.01607532699649338,-0.0018505279911258876,0.03113058561176604,0.008783279886444277,0.005302730554496166,-0.031334247796715335,-0.003668839167720626,0.014437031066696856,-0.01701444474527593,0.027472863548884077,-0.02925080419729297,0.02551363494994618,0.04023537745919308,0.027109618481976083,0.006557474646578789,0.04487199885318151,0.00462842586378385,-0.03694223433991595,-0.026556004106569175,0.009507719899011339,0.01884499910894579,0.010028835943115369,0.014406048430630062
Education,0.005091953790989496,0.20803373101424005,-0.03137281964004919,-0.008669840085108939,-0.016806433209157718,-0.007996422048222405,0.021041825624123316,1.0,0.05455352218550867,-0.02712831325651157,-0.016546827443885692,0.01677482888096081,0.04243763431860812,0.1015888862485003,-0.007120673929823844,-0.011296116736574,-0.004052654286161495,0.0949606770418886,-0.026084197160047593,0.12631656017668424,-0.020321767395703703,-0.011110940860654058,-0.024538791164833304,-0.009118376696381374,0.01842222020401691,0.14827969653887327,-0.02510024113793328,0.009819189309781885,0.06911369603133864,0.060235554120695756,0.05425433359132042,0.06906537825528478
EducationField,-0.027292377080558868,-0.021305938980906165,0.04913124224937461,-0.009910014187876298,-0.03864676632575302,-0.10590765926222694,0.01703316667883913,0.05455352218550867,1.0,0.054829948049412595,0.011100600460214405,-0.04664868533649819,-0.017524380268938336,0.024932885672285195,-0.022275485440634207,-0.03669955977914722,0.0183686889570089,0.011653188442470302,-0.03560426283941331,-0.008434638816024988,0.0252261393515564,-0.01659018562310659,-0.01466823804358952,0.00036030368430301537,-0.010175744932931372,-0.013155242443039224,-0.013648370618796606,0.04634577757346354,-0.01110447915375215,-0.01179731317048323,-0.028563551216007982,-0.0026070404577836904
EnvironmentSatisfaction,0.004429819488244233,0.010146427861437242,-0.10336897833793592,-0.011309934664854531,0.018354854300385495,0.019395270630633597,-0.01607532699649338,-0.02712831325651157,0.054829948049412595,1.0,0.0005083138899311826,-0.04985695620300054,-0.008277598171759165,0.0012116994489140363,-0.007945920222048887,-0.006784352599075083,0.0035934733263502257,-0.006259087754780127,0.03759962286571532,0.012594323218943252,0.07013172677409493,-0.0317011952417921,-0.02954795229768102,0.0076653835410745025,0.0034321577550575433,-0.002693070388534181,-0.019359308347132405,0.027627295460115504,0.0014575491911165241,0.018007460142878594,0.016193605568453354,-0.004998722628107489
Gender,-3.926735775609182e-05,-0.03631055011579357,0.02945325317514156,-0.044895512646853854,-0.01171613790774814,0.041583290226894096,-0.0018505279911258876,-0.016546827443885692,0.011100600460214405,0.0005083138899311826,1.0,-0.0004782970511302973,0.017959755383917368,-0.039403102676133596,-0.0064184800364618716,0.03325169742246464,0.0471825923672114,-0.0318584917966544,-0.041482205119988576,-0.03914744956027877,-0.04192434795198774,0.002732647514859363,-0.013859018361688995,0.022868369968027585,0.0127157137640634,-0.046880939477783184,-0.03878673547787924,-0.002752678820819158,-0.02974708593503424,-0.04148272852576778,-0.026984577172944384,-0.030598909280602556
HourlyRate,0.03875921178271856,0.024286542550967186,-0.006845549572139921,-0.00416398306931442,0.023381421528320474,0.004143707935910182,0.03113058561176604,0.01677482888096081,-0.04664868533649819,-0.04985695620300054,-0.0004782970511302973,1.0,0.04286064097152975,-0.02785348640554722,-0.016276072729481502,-0.07133462437378796,0.017860505876507737,-0.01579430438089288,-0.015296749550649733,0.022156883390196815,-0.007781974361000032,-0.009061986253740058,-0.0021716974278100953,0.0013304527859504195,0.0502633990651199,-0.00233368182332225,-0.00854768520927057,-0.004607233750264256,-0.01958161620912121,-0.024106220208784997,-0.026715586064335158,-0.020123200184066086
JobInvolvement,0.031225816421162615,0.02981995862959061,-0.13001595678605357,0.029299958629822473,0.046134873997811236,0.02458606170894312,0.008783279886444277,0.04243763431860812,-0.017524380268938336,-0.008277598171759165,0.017959755383917368,0.04286064097152975,1.0,-0.012629882671190511,-0.005481226113196294,-0.021475910335306433,0.038497018696829644,-0.01527149077873266,-0.016322079053317125,0.015012413243111,-0.003506710569404354,-0.017204572244480403,-0.029071333439069612,0.03429682061119769,0.021522640378024045,-0.005533182057407319,-0.015337825759429238,-0.014616593162761845,-0.021355426979629718,0.008716963497611632,-0.02418429236517886,0.02597580794908898
JobLevel,-0.04947615298130163,0.5096042284323831,-0.16910475093102723,-0.011695830250404073,0.0029663348551115087,-0.10196310581158109,0.005302730554496166,0.1015888862485003,0.024932885672285195,0.0012116994489140363,-0.039403102676133596,-0.02785348640554722,-0.012629882671190511,1.0,0.29580661855650436,-0.0019437080267458654,0.07676947812851785,0.9502999134798477,0.03956295104568372,0.14250112381048669,0.0005440477748809414,-0.03473049227941839,-0.021222082108857704,0.02164151053259158,0.013983910528615338,0.7822078045362741,-0.01819055019354925,0.0378177455966661,0.5347386873756309,0.38944673287666964,0.3538853469641019,0.37528060776572564
JobRole,-0.005557410378177911,0.16520390347787955,-0.05246200310074029,0.021014426778507758,0.008054457624450275,0.4848381253733465,-0.031334247796715335,-0.007120673929823844,-0.022275485440634207,-0.007945920222048887,-0.0064184800364618716,-0.016276072729481502,-0.005481226113196294,0.29580661855650436,1.0,-0.019298238189431192,0.060932224544416,0.3430764936501228,0.009152018514909023,0.054265911467665955,-0.01958605361254906,0.015041933063105813,-0.00224271481179733,0.016424386856060215,-0.01025274006303556,0.2564547791490748,-0.010068217843930189,0.03744425815756777,0.12036087666008556,0.05469152809376294,0.0689403288753613,0.04571328146303871
JobSatisfaction,-0.02803106603376526,-0.004891877148687302,-0.10348112606902116,0.008665958530506843,0.03057100783714387,-0.02100087885193562,-0.003668839167720626,-0.011296116736574,-0.03669955977914722,-0.006784352599075083,0.03325169742246464,-0.07133462437378796,-0.021475910335306433,-0.0019437080267458654,-0.019298238189431192,1.0,-0.024359952979776375,-0.0071567423559129265,0.0006439169427038406,-0.055699426012746106,0.024539481060031572,0.020002039364081924,0.0022971970637803586,-0.012453593161926919,0.010690226120755911,-0.02018507268501697,-0.005779334958608867,-0.019458710212973865,-0.003802627948288118,-0.002304785229830147,-0.018213567810190845,-0.027656213884290005
MaritalStatus,0.01303227015755879,0.09502891010976458,-0.16207023465701503,-0.030914987618337386,0.06958564143828096,0.05607343535371024,0.014437031066696856,-0.004052654286161495,0.0183686889570089,0.0035934733263502257,0.0471825923672114,0.017860505876507737,0.038497018696829644,0.07676947812851785,0.060932224544416,-0.024359952979776375,1.0,0.07544958186377405,-0.023937426640408172,0.03550538873744982,0.017521381576973773,-0.012492328795430364,-0.00520662600585197,-0.022549070679790707,0.6625772916604353,0.07788635203890547,-0.01062860721685256,-0.014708293809200933,0.05998600393326205,0.06582189982406565,0.030915078785060363,0.038570073733423624
MonthlyIncome,-0.06030247826402508,0.4978545669265798,-0.15983958238498858,-0.013449946655490172,0.0077070588720059,-0.053129697797713434,-0.01701444474527593,0.0949606770418886,0.011653188442470302,-0.006259087754780127,-0.0318584917966544,-0.01579430438089288,-0.01527149077873266,0.9502999134798477,0.3430764936501228,-0.0071567423559129265,0.07544958186377405,1.0,0.03481362613412168,0.14951521598969808,0.006089285402589965,-0.027268586440314612,-0.01712013823739133,0.02587343613755766,0.005407676696812195,0.7728932462543568,-0.02173627682389315,0.03068308155694024,0.5142848257331979,0.36381766692870876,0.3449776381654273,0.3440788832587209
MonthlyRate,-0.026468631854229915,0.02805116713392285,0.015170212530471485,-0.008440491624793399,-0.032181601522581885,-0.023642072073989197,0.027472863548884077,-0.026084197160047593,-0.03560426283941331,0.03759962286571532,-0.041482205119988576,-0.015296749550649733,-0.016322079053317125,0.03956295104568372,0.009152018514909023,0.0006439169427038406,-0.023937426640408172,0.03481362613412168,1.0,0.01752135341557157,0.021431144567353462,-0.006429345946711407,-0.009811428489361017,-0.004085329337519469,-0.03432283020666101,0.026442471176015347,0.001466880632285825,0.007963157516976937,-0.023655106706177226,-0.01281487437047169,0.001566799514676104,-0.0367459053367694
